pop_min_age,pop_max_age,pop_sex,Anxiety,Arthritis,Asthma,CAD,COPD,Depression,Diabetes,Hyperlipidemia,Hypertension,Osteoporosis,Smoking,Obesity
0,0,F,4.46,4.46,106.34,4.46,4.46,4.46,4.46,4.46,4.46,4.46,0.00,0.00
0,0,M,4.46,4.46,53.75,4.46,4.46,4.46,4.46,4.46,4.46,4.46,0.00,83.33
1,4,F,4.46,4.46,106.34,4.46,4.46,4.46,4.46,4.46,4.46,4.46,0.00,166.67
1,4,M,4.46,4.46,53.75,4.46,4.46,4.46,4.46,4.46,4.46,4.46,0.00,166.67
5,10,F,150.00,4.46,106.34,4.46,4.46,150.00,4.46,4.46,4.46,4.46,0.00,166.67
5,10,M,100.00,4.46,53.75,4.46,4.46,100.00,4.46,4.46,4.46,4.46,0.00,166.67
11,21,F,350.00,4.46,106.34,4.46,4.46,350.00,4.46,4.46,4.46,4.46,84.15,166.67
11,21,M,250.00,4.46,53.75,4.46,4.46,250.00,4.46,4.46,4.46,4.46,104.84,166.67
22,29,F,259.57,53.75,106.34,3.50,28.64,259.57,4.46,50.28,48.73,0.00,84.15,217.92
22,29,M,179.39,67.01,53.75,11.40,29.34,179.39,5.55,69.24,127.62,0.00,104.84,194.29
30,34,F,290.38,78.71,73.64,11.38,16.43,290.38,8.69,95.31,78.43,0.00,99.59,175.83
30,34,M,167.47,44.94,47.15,1.16,14.88,167.47,17.58,122.19,169.73,0.00,158.01,253.16
35,39,F,273.63,114.84,101.67,2.31,9.11,273.63,26.40,103.59,82.12,0.00,65.95,214.12
35,39,M,130.52,91.87,59.44,7.28,20.07,130.52,34.52,174.56,180.37,0.00,128.92,271.60
40,44,F,267.31,134.41,108.42,33.32,14.89,267.31,28.97,170.08,91.55,0.00,69.81,224.31
40,44,M,97.49,123.15,55.07,28.44,4.99,97.49,57.49,243.15,222.70,0.00,128.31,239.18
45,49,F,321.48,170.60,129.17,32.98,50.69,321.48,39.13,208.30,152.91,0.00,64.97,267.13
45,49,M,163.83,168.54,68.11,37.41,15.49,163.83,70.60,298.59,303.59,0.00,104.26,288.20
50,54,F,295.50,290.34,142.64,25.49,61.56,295.50,108.16,293.80,300.14,0.00,116.87,284.72
50,54,M,150.91,239.68,64.30,31.79,28.53,150.91,76.33,340.94,325.92,0.00,119.11,320.92
55,59,F,305.47,370.36,108.29,40.82,58.75,305.47,114.42,362.67,284.27,0.00,54.09,247.03
55,59,M,114.50,282.60,68.69,84.96,53.29,114.50,112.52,440.13,392.13,0.00,110.28,292.61
60,64,F,284.62,438.28,105.89,33.06,64.55,284.62,136.89,404.56,365.14,100.00,54.87,275.56
60,64,M,173.65,339.50,64.33,91.37,60.27,173.65,155.05,468.20,473.47,0.00,85.67,334.12
65,69,F,242.43,517.72,126.72,61.73,81.02,242.43,163.08,480.17,469.94,100.00,81.73,257.63
65,69,M,175.06,357.68,96.24,153.59,75.77,175.06,244.08,506.56,548.20,0.00,83.40,337.36
70,74,F,232.61,643.39,112.89,117.63,102.73,232.61,184.02,461.66,568.07,200.00,30.20,251.27
70,74,M,107.25,474.32,44.48,247.98,100.81,107.25,268.24,517.67,585.37,0.00,64.48,220.44
75,79,F,272.53,564.60,143.38,70.06,86.52,272.53,206.85,556.52,574.48,200.00,26.98,286.44
75,79,M,99.87,394.30,50.64,182.94,64.36,99.87,237.82,481.97,584.91,0.00,55.89,246.78
80,84,F,178.17,574.15,72.33,131.73,73.57,178.17,194.75,387.72,613.51,400.00,17.25,123.38
80,84,M,78.20,493.36,46.70,285.41,132.62,78.20,184.28,500.93,591.73,0.00,7.51,172.10
85,999,F,178.17,574.15,72.33,131.73,73.57,178.17,194.75,387.72,613.51,600.00,17.25,123.38
85,999,M,78.20,493.36,46.70,285.41,132.62,78.20,184.28,500.93,591.73,0.00,7.51,172.10
<<end>>,,,,,,,,,,,,,,
