svc_category,svc_desc,min_f2f_time,max_f2f_time,Phys,PA,NP,RN,PharmD,MA,Educ,Psych,LCSW,CMHC,MFT,,,
Behavioral Health Screenings,Alcohol Misuse Screening,2,2,0.50,0.50,0.50,0.50,NA,NA,NA,0.50,0.50,0.50,0.50,,,
Behavioral Health Screenings,Autism Spectrum Disorder Screening,5,5,0.50,0.50,0.50,0.50,NA,NA,NA,0.50,0.50,0.50,0.50,,,
Behavioral Health Screenings,Depression Screening,4,4,0.50,0.50,0.50,0.50,NA,NA,NA,0.50,0.50,0.50,0.50,,,
Behavioral Health Screenings,Child Developmental Screening,5,5,0.50,0.50,0.50,0.50,NA,NA,NA,0.50,0.50,0.50,0.50,,,
Behavioral Health Screenings,Child Developmental Surveillance,2,2,0.50,0.50,0.50,0.50,NA,NA,NA,0.50,0.50,0.50,0.50,,,
Behavioral Health Screenings,Intimate partner violence screening,2,2,0.50,0.50,0.50,0.50,NA,NA,NA,0.50,0.50,0.50,0.50,,,
Behavioral Health Screenings,Maternal Depression Screening,2,2,0.50,0.50,0.50,0.50,NA,NA,NA,0.50,0.50,0.50,0.50,,,
Behavioral Health Screenings,Post Partum Depression Screening,5,5,0.50,0.50,NA,NA,NA,NA,NA,0.50,NA,NA,NA,,,
Behavioral Health Screenings,Psychosocial/Behavioral Surveillance,2,2,0.50,0.50,0.50,0.50,NA,NA,NA,0.50,0.50,0.50,0.50,,,
Behavioral Health Screenings,Tobacco/Alcohol/Drug Use,3,3,0.50,0.50,0.50,0.50,NA,NA,NA,0.50,0.50,0.50,0.50,,,
Counseling,Diet/Physical Activity Counseling,5,5,0.50,NA,NA,NA,NA,NA,0.50,NA,0.50,0.50,0.50,,,
Counseling,Advanced Care Planning,5,5,0.50,0.50,0.50,0.50,NA,NA,NA,0.50,0.50,0.50,0.50,,,
Counseling,Alcohol Misuse Counseling,1,1,NA,NA,NA,NA,NA,NA,NA,0.50,0.50,0.50,0.50,,,
Counseling,Anticipatory Guidance,5,5,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Counseling,BRCA risk assessment and genetic counseling,5,5,0.50,NA,NA,NA,NA,NA,NA,NA,0.50,0.50,0.50,,,
Counseling,Breast Cancer Preventive Medications,5,5,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Counseling,Breast Feeding Interventions,5,5,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
Counseling,CBT,50,50,NA,NA,NA,NA,NA,NA,NA,0.50,0.50,0.50,0.50,,,
Counseling,Condition Consultation,10,15,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Counseling,Folic Acid Supplementation,5,5,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Counseling,Obesity Counseling,0,0,NA,NA,NA,NA,NA,NA,NA,0.50,0.50,0.50,0.50,,,
Counseling,Psychotherapy,50,50,NA,NA,NA,NA,NA,NA,NA,0.50,0.50,0.50,0.50,,,
Counseling,Sexually Transmitted Infections Counseling,1,1,NA,NA,NA,NA,NA,NA,NA,0.50,0.50,0.50,0.50,,,
Counseling,Skin Cancer Behavioral Counseling,1,1,NA,NA,NA,NA,NA,NA,NA,0.50,0.50,0.50,0.50,,,
Counseling,Tobacco Use Counseling,5,5,0.50,0.50,0.50,0.50,NA,NA,NA,0.50,NA,NA,NA,,,
Counseling,Tobacco Use Prevention and Counseling ,1,1,NA,NA,NA,NA,NA,NA,NA,0.50,0.50,0.50,0.50,,,
Counseling,Visit wrap-up/care planning,2,5,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Education,Asthma action plan,5,5,0.50,0.50,0.50,0.50,NA,NA,0.50,NA,NA,NA,NA,,,
Education,Control: Weight; Hypertension; Hyperlipidemia; Smoking,2,2,0.50,0.50,0.50,0.50,NA,NA,0.50,NA,NA,NA,NA,,,
Education,Diabetes Self Management Education/Support,30,30,0.50,0.50,0.50,0.50,NA,NA,0.50,NA,NA,NA,NA,,,
Education,Dietary/Physical Activity Guidance,10,10,0.50,0.50,0.50,0.50,NA,NA,0.50,NA,NA,NA,NA,,,
Education,Exercise & COPD Management,15,15,0.50,0.50,0.50,0.50,NA,NA,0.50,NA,NA,NA,NA,,,
Education,Inhaler use guidance,5,5,0.50,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,,,
Education,Medical Nutrition Therapy (MNT),30,30,0.50,0.50,0.50,0.50,NA,NA,0.50,NA,NA,NA,NA,,,
Immunization,DTaP,3,3,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Immunization,Hep A,3,3,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Immunization,Hep B,3,3,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Immunization,Hib,3,3,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Immunization,HPV,3,3,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Immunization,HZV,3,3,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Immunization,Influenza,3,3,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Immunization,IPV,3,3,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Immunization,Meningococcal,3,3,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Immunization,MMR,3,3,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Immunization,PCV12,3,3,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
Immunization,PCV13,3,3,0.50,0.50,0.50,0.50,NA,NA,NA,NA,NA,NA,NA,,,
