_Category	Routine Service	Care Category	Service	Demand
Patient History	Well-Child Visits-A	Preventive	Patient History (6)	163162.9
Behavioral Health Screenings	Well-Child Visits-A	Preventive	Developmental Screening (1)	163162.9
Behavioral Health Screenings	Well-Child Visits-A	Preventive	Developmental Surveillance (5)	163162.9
Behavioral Health Screenings	Well-Child Visits-A	Preventive	Psychosocial/Behavioral Surveillance (6)	163162.9
Behavioral Health Screenings	Well-Child Visits-A	Preventive	Maternal Depression Screening (4)	163162.9
Measurements	Well-Child Visits-A	Preventive	length/height & weight (6)	163162.9
Measurements	Well-Child Visits-A	Preventive	head circumference (6)	163162.9
Measurements	Well-Child Visits-A	Preventive	weight for length (6)	163162.9
Measurements	Well-Child Visits-A	Preventive	BP (6)	163162.9
Physical Exam	Well-Child Visits-A	Preventive	Physical Exam (6)	163162.9
Sensory Screening	Well-Child Visits-A	Preventive	Vision (6)	163162.9
Sensory Screening	Well-Child Visits-A	Preventive	Hearing (4)	163162.9
Physical Screening	Well-Child Visits-A	Preventive	Physical Screening	163162.9
Immunization	Well-Child Visits-A	Preventive	Hep B (1)	163162.9
Immunization	Well-Child Visits-A	Preventive	Rotavirus (2)	163162.9
Immunization	Well-Child Visits-A	Preventive	DTaP (3)	163162.9
Immunization	Well-Child Visits-A	Preventive	Hib (2)	163162.9
Immunization	Well-Child Visits-A	Preventive	PCV12 (2)	163162.9
Immunization	Well-Child Visits-A	Preventive	IPV (2)	163162.9
Immunization	Well-Child Visits-A	Preventive	flu (1)	163162.9
Lab	Well-Child Visits-A	Preventive	Newborn Blood (1)	163162.9
Lab	Well-Child Visits-A	Preventive	Newborn Bilirubin (1)	163162.9
Lab	Well-Child Visits-A	Preventive	Anemia (1)	163162.9
Lab	Well-Child Visits-A	Preventive	Lead (2)	163162.9
Oral Health	Well-Child Visits-A	Preventive	Identify Dental Home (2)	163162.9
Oral Health	Well-Child Visits-A	Preventive	Fluoride Supplementation (2)	163162.9
Anticipatory Guidance 	Well-Child Visits-A	Preventive	Anticipatory Guidance (6)	163162.9
Patient History	Well Child Visits-B	Preventive	Patient History (7)	621763.8
Behavioral Health Screenings	Well Child Visits-B	Preventive	Developmental Screening (2)	621763.8
Behavioral Health Screenings	Well Child Visits-B	Preventive	Autism Spectrum Disorder Screening (2)	621763.8
Behavioral Health Screenings	Well Child Visits-B	Preventive	Developmental Surveillance (5)	621763.8
Behavioral Health Screenings	Well Child Visits-B	Preventive	Psychosocial/Behavioral Surveillance (7)	621763.8
Measurements	Well Child Visits-B	Preventive	length/height & weight (7)	621763.8
Measurements	Well Child Visits-B	Preventive	head circumference (4)	621763.8
Measurements	Well Child Visits-B	Preventive	weight for length (3)	621763.8
Measurements	Well Child Visits-B	Preventive	BMI (4)	621763.8
Measurements	Well Child Visits-B	Preventive	BP (7)	621763.8
