_Category	Routine Service	Care Category	Service	freq	F2F	Doc	Physician
Patient History	Well-Child Visits-A	Preventive	Patient History (6)	6	5	1	1
Behavioral Health Screenings	Well-Child Visits-A	Preventive	Developmental Screening (1)	1	5	1	1
Behavioral Health Screenings	Well-Child Visits-A	Preventive	Developmental Surveillance (5)	5	2	1	1
Behavioral Health Screenings	Well-Child Visits-A	Preventive	Psychosocial/Behavioral Surveillance (6)	6	2	1	1
Behavioral Health Screenings	Well-Child Visits-A	Preventive	Maternal Depression Screening (4)	4	2	1	1
Measurements	Well-Child Visits-A	Preventive	length/height & weight (6)	6	1	1	1
Measurements	Well-Child Visits-A	Preventive	head circumference (6)	6	1	1	1
Measurements	Well-Child Visits-A	Preventive	weight for length (6)	6	1	1	1
Measurements	Well-Child Visits-A	Preventive	BP (6)	6	1	1	1
Physical Exam	Well-Child Visits-A	Preventive	Physical Exam (6)	6	5	1	1
Sensory Screening	Well-Child Visits-A	Preventive	Vision (6)	6	1	1	1
Sensory Screening	Well-Child Visits-A	Preventive	Hearing (4)	4	1	1	1
Physical Screening	Well-Child Visits-A	Preventive	Physical Screening	6	5	1	1
Immunization	Well-Child Visits-A	Preventive	Hep B (1)	1	3	1	1
Immunization	Well-Child Visits-A	Preventive	Rotavirus (2)	2	3	1	1
Immunization	Well-Child Visits-A	Preventive	DTaP (3)	3	3	1	1
Immunization	Well-Child Visits-A	Preventive	Hib (2)	3	3	1	1
Immunization	Well-Child Visits-A	Preventive	PCV12 (2)	3	3	1	1
Immunization	Well-Child Visits-A	Preventive	IPV (2)	3	3	1	1
Immunization	Well-Child Visits-A	Preventive	flu (1)	1	3	1	1
Lab	Well-Child Visits-A	Preventive	Newborn Blood (1)	1	0	1	1
Lab	Well-Child Visits-A	Preventive	Newborn Bilirubin (1)	1	0	1	1
Lab	Well-Child Visits-A	Preventive	Anemia (1)	1	2	1	1
Lab	Well-Child Visits-A	Preventive	Lead (2)	2	2	1	1
Oral Health	Well-Child Visits-A	Preventive	Identify Dental Home (2)	2	1	1	1
Oral Health	Well-Child Visits-A	Preventive	Fluoride Supplementation (2)	2	1	1	1
Anticipatory Guidance 	Well-Child Visits-A	Preventive	Anticipatory Guidance (6)	6	5	1	1
Patient History	Well Child Visits-B	Preventive	Patient History (7)	7	5	1	1
Behavioral Health Screenings	Well Child Visits-B	Preventive	Developmental Screening (2)	2	5	1	1
Behavioral Health Screenings	Well Child Visits-B	Preventive	Autism Spectrum Disorder Screening (2)	2	5	1	1
Behavioral Health Screenings	Well Child Visits-B	Preventive	Developmental Surveillance (5)	5	2	1	1
Behavioral Health Screenings	Well Child Visits-B	Preventive	Psychosocial/Behavioral Surveillance (7)	7	2	1	1
Measurements	Well Child Visits-B	Preventive	length/height & weight (7)	7	5	1	1
Measurements	Well Child Visits-B	Preventive	head circumference (4)	4		1	1
Measurements	Well Child Visits-B	Preventive	weight for length (3)	3		1	1
Measurements	Well Child Visits-B	Preventive	BMI (4)	4		1	1
Measurements	Well Child Visits-B	Preventive	BP (7)	7		1	1
Physical Exam	Well Child Visits-B	Preventive	Physical Exam (7)	7	5	1	1
Sensory Screening	Well Child Visits-B	Preventive	Vision (7)	7	5	1	1
Sensory Screening	Well Child Visits-B	Preventive	Hearing (7)	7	1	1	1
Physical Screening	Well Child Visits-B	Preventive	Physical Screening	0	5	1	1
Immunization	Well Child Visits-B	Preventive	Hep B (1)	1	5	1	1
Immunization	Well Child Visits-B	Preventive	DTap(1)	1	3	1	1
Immunization	Well Child Visits-B	Preventive	Hib (1)	1	3	1	1
Immunization	Well Child Visits-B	Preventive	PCV13(1)	1	3	1	1
Immunization	Well Child Visits-B	Preventive	Polio (1)	1	3	1	1
Immunization	Well Child Visits-B	Preventive	Flu (7)	7	3	1	1
Immunization	Well Child Visits-B	Preventive	MMR (1)	1	3	1	1
Immunization	Well Child Visits-B	Preventive	VAR (1)	1	3	1	1
Immunization	Well Child Visits-B	Preventive	Hep A (2) 	2	3	1	1
Lab	Well Child Visits-B	Preventive	Anemia (7)	7	5	1	1
Lab	Well Child Visits-B	Preventive	Lead (5)	5	1	1	1
Lab	Well Child Visits-B	Preventive	Dyslipidemia (2)	2	1	1	1
Oral Health	Well Child Visits-B	Preventive	Identify Dental Home (6)	6	5	1	1
Oral Health	Well Child Visits-B	Preventive	Fluoride Varnish (1)	1	1	1	1
Oral Health	Well Child Visits-B	Preventive	Fluoride Supplementation (6)	6	1	1	1
