pop_min_age,pop_max_age,pop_sex,Adult Wellness Visits-Over 65,Adult Wellness Visits-Under 65,Well-Child Visits-Infant,Well Child Visits-Early Childhood,Well Child Visits-Mid Childhood,Well-Child Visits-Adolescence,Addl Screening: Breast Cancer,Addl Screening: Cerv Cancer,Addl Screening: Int Part Violence,Addl Screening: Osteoporosis,Additional Screening: STI,Addl Counsel: Breast Cancer Prev Rx,Addl Counsel: Folic Acid Supp,Addl Screen and Counsel: BRCA,Addl Screening: Colon Cancer
0,0,F,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
0,0,M,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
1,4,F,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,4,M,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
5,10,F,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,10,M,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,21,F,0,0,0,0,0,1,0,0,1,0,0.5,0,0,0,0
11,21,M,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,29,F,0,1,0,0,0,0,0,0.33,1,0,0.5,0,0,0,0
22,29,M,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,34,F,0,1,0,0,0,0,0,0.33,1,0,0,0,0,0,0
30,34,M,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,39,F,0,1,0,0,0,0,0,0.33,1,0,0,0,0,0,0
35,39,M,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,44,F,0,1,0,0,0,0,0,0.33,1,0,0,0,0,0,0
40,44,M,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,49,F,0,1,0,0,0,0,0,0.33,1,0,0,0,0,0,0
45,49,M,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,54,F,0,1,0,0,0,0,0.5,0.33,0,0,0,0,0,0,0.1
50,54,M,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1
55,59,F,0,1,0,0,0,0,0.5,0.33,0,0,0,0,0,0,0.1
55,59,M,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1
60,64,F,0,1,0,0,0,0,0.5,0.33,0,0,0,0,0,0,0.1
60,64,M,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1
65,69,F,1,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.1
65,69,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
70,74,F,1,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.1
70,74,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
75,79,F,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
75,79,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,84,F,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
80,84,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,999,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,999,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
<<end>>,,,,,,,,,,,,,,,,,
